record_id,source_id,source_title,record_name,normalized_name,text_exists,text_characters,image_count,dimension_signature,entity_attribute_count,asset_status,text_path,image_directory
Gq00053,Gq,古琴,无名琴 · Gq00053,无名琴,True,411,6,L=125cm; E=112.7cm; W=18cm; T=3.8cm; TW=12.1cm; TT=4.1cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00053.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00053
Gq00054,Gq,古琴,金声玉振,金声玉振,True,371,17,L=107.3cm; W=17.6cm; T=4.8cm; TW=12.2cm; TT=4.4cm,19,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00054.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00054
Gq00056,Gq,古琴,瀑飞,瀑飞,True,346,6,L=121.2cm; W=18.7cm; T=4.8cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00056.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00056
Gq00057,Gq,古琴,无名琴 · Gq00057,无名琴,True,210,9,L=123.9cm; W=20.1cm; T=6.3cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00057.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00057
Gq00059,Gq,古琴,无名琴 · Gq00059,无名琴,True,322,4,L=122.2cm; W=17.8cm; T=5.9cm; TW=14.2cm; TT=5.4cm,13,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00059.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00059
Gq00060,Gq,古琴,雩和,雩和,True,326,11,L=125.3cm; W=18cm; T=4.9cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00060.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00060
Gq00063,Gq,古琴,无名琴 · Gq00063,无名琴,True,342,3,L=121.3cm; E=113.2cm; W=19cm; T=4.5cm; TW=13.8cm; TT=4.1cm,11,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00063.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00063
Gq00064,Gq,古琴,松风,松风,True,463,14,L=125.5cm; W=19.5cm; T=5.7cm,12,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00064.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00064
Gq00066,Gq,古琴,无名琴 · Gq00066,无名琴,True,357,9,L=124.2cm; E=112.3cm; W=18.6cm; T=5.3cm; TW=14.4cm; TT=5cm,15,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00066.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00066
Gq00068,Gq,古琴,无名琴 · Gq00068,无名琴,True,385,11,L=118.5cm; W=19cm; T=4.45cm; TW=15.3cm; TT=4.45cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00068.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00068
Gq00070,Gq,古琴,无名琴 · Gq00070,无名琴,True,285,4,L=119.4cm; W=20.4cm; T=5cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00070.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00070
Gq00071,Gq,古琴,鹤鸣,鹤鸣,True,284,7,L=122.8cm; W=18.5cm; T=5.7cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00071.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00071
Gq00073,Gq,古琴,无名琴 · Gq00073,无名琴,True,435,20,L=123.4cm; W=20.2cm; T=5.2cm,9,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00073.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00073
